,Account,total_pnl,avg_win_rate,avg_trades_per_day,avg_trade_size,avg_long_short_ratio,cluster
0,0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,0.21575816912527282,1909.0,15578.066878995556,0.10229720028715003,0
1,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,37706.173148,0.4831455208038494,1926.5,2093.0507951855716,17.36637931034483,2
2,0x271b280974205ca63b716753467d5a371de622ab,31763.088431,0.4101525821596244,382.0,16282.920322769955,0.06234761407175201,0
3,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132315.481685,0.4382462457785591,6633.0,508.4139635573343,1.4423107962231998,2
4,0x2c229d22b100a7beb69122eed721cee9b24011dd,168627.984054,0.5041174876271167,1617.0,3073.4131596983725,998.75,2
5,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-27704.567439,0.19414872774471628,102.83333333333333,5212.250799060605,5.166666666666667,0
6,0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919336000003,0.4235405579745203,1794.5,4677.615483087406,0.7671543572706363,2
7,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,0.48694812669414433,166.0,3562.32316586833,90.0,2
8,0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.59273200002,0.23009302325581393,191.5,5522.192161395349,0.05782674772036474,0
9,0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,0.5795973900106022,262.75,3111.6620970235913,64.73345588235294,2
10,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,101965.643134,0.3518527444550567,4170.0,518.0945601985864,0.28074279333344604,2
11,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,674403.995032,0.45342799559104363,2067.0,8721.255130770734,166.5427927927928,2
12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,301287.891529,0.33960062168627064,1869.75,14130.896722149999,2.5698959032778896,0
13,0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.648209,0.2078068201488662,3000.0,15783.011971052674,1.0261398176291794,0
14,0x6d6a4b953f202f8df5bed40692e7fd865318264a,108518.614902,0.6346153846153846,411.0,708.2712132167833,0.036036036036036036,2
15,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,425815.195065,0.4773828241193218,567.0,12204.608594261252,0.458656330749354,2
16,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,393683.014159,0.21240287616186415,679.0,2214.3003479174768,0.1096433289299868,0
17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,361576.6227,0.6525427199077096,2237.0,2024.855107183806,0.867663297903619,2
18,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.443047,0.4510939510939511,1554.0,3643.361287001287,0.3590697674418605,2
19,0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.792847,0.14381544502617802,1535.5,2291.4922229493895,0.15837299870186067,0
20,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64521.887634,0.18860730875159287,928.0,3693.4206066304932,8.087336244541484,0
21,0x8477e447846c758f5a675856001ea72298fd9cb5,77110.57877200001,0.31904297150736477,3738.6666666666665,935.8498685293911,0.12310432562495788,2
22,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,109197.778134,0.23317573310667233,1402.0,3183.173862887803,0.6269554753309265,0
23,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,89495.52289600001,0.3693499526052079,6742.5,1397.0147898539399,2113.6279527559054,2
24,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,0.4773045688426012,139.0,3460.7354680222347,8.666666666666666,2
25,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,29677.264671,0.4109311740890689,186.0,3230.1484251012143,134.5,2
26,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,0.27301587301587305,267.0,5151.995371428571,204.0,0
27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2040922.4260490001,0.33240635480576364,2882.0,5106.900183817335,1.0217388205093518,0
28,0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,0.4386109962794543,4838.0,22504.555828854896,1.6744057490326147,0
29,0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.212682,0.46753185464841907,21190.0,3210.7751864086836,21187.0,1
30,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,337113.65721599996,0.26289390636195936,1239.0,5414.876755980059,0.3716694414921394,0
31,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,811182.978768,0.47706197670905004,18267.0,2124.0605654260357,0.8203361888327376,2
